date,market_value,wn,rw
1994-01-07,469.9,1484.0524875728652,1122.139662
1994-01-10,475.27,1062.021772611663,1080.34786
1994-01-11,474.13,765.7619196597984,1082.095245
1994-01-12,474.17,1703.870574075907,1083.639265
1994-01-13,472.47,1304.167650755336,1067.146255
1994-01-14,474.91,1288.3243167677751,1080.12972
1994-01-17,473.3,1003.3618042701996,1071.036309
1994-01-18,474.25,1541.7705010143472,1084.471693
1994-01-19,474.3,553.2035984126913,1026.649039
1994-01-20,474.98,1140.5822906303472,1061.19424
1994-01-21,474.72,525.9177216073324,1054.308122
1994-01-24,471.97,762.5185774777881,1040.535104
1994-01-25,470.92,1492.5512453891572,1057.83579
1994-01-26,473.2,1028.738709392162,1041.120905
1994-01-27,477.05,964.8564750892576,1044.791756
1994-01-28,478.7,1036.2439722831325,1046.486394
1994-01-31,481.61,857.5954605407678,1079.764354
1994-02-01,479.62,1296.6411645667658,1117.782978
1994-02-02,482.0,553.7624741139302,1131.95039
1994-02-03,480.71,1049.9357570470136,1116.385374
1994-02-04,469.81,979.9467910033264,1124.008725
1994-02-07,471.76,1001.1200984032688,1156.397785
1994-02-08,471.05,994.35602045591,1111.179006
1994-02-09,472.77,1439.3864298150838,1096.528238
1994-02-10,468.93,1259.8422854192386,1127.970216
1994-02-11,470.18,1189.3559502006203,1130.725996
1994-02-14,470.23,890.4742887888438,1122.547226
1994-02-15,472.52,953.8912671847291,1119.79884
1994-02-16,472.79,1433.0220359998702,1107.41095
1994-02-17,470.34,1138.5632389299788,1146.121164
1994-02-18,467.69,1198.2952617714564,1147.428582
1994-02-21,467.69,1317.5207184475912,1134.741654
1994-02-22,471.46,1350.4566184078324,1151.847442
1994-02-23,470.69,1323.6047233813265,1170.264534
1994-02-24,464.26,1448.8455146781985,1183.225417
1994-02-25,466.07,1372.944867025358,1197.945483
1994-02-28,467.14,1188.8041517859142,1215.791492
1994-03-01,464.44,1039.9950547294263,1193.55157
1994-03-02,464.81,1080.4220750735449,1198.613678
1994-03-03,463.01,1073.2831657595857,1217.590338
1994-03-04,464.74,782.5776713559849,1174.98108
1994-03-07,466.91,1216.3984676210846,1099.127933
1994-03-08,465.88,1138.4172965913688,1098.534895
1994-03-09,467.06,700.3768087823369,1082.262018
1994-03-10,463.9,763.2440048214057,1103.634504
1994-03-11,466.44,965.8470337794904,1072.885738
1994-03-14,467.39,1533.3497696054972,1035.332342
1994-03-15,467.01,796.0422323309451,1033.191684
1994-03-16,469.42,1613.5892266640276,1021.7984
1994-03-17,470.9,1177.9725731581018,1037.68722
1994-03-18,471.06,768.3757088400284,1055.056629
1994-03-21,468.54,867.3380466622914,1038.228385
1994-03-22,468.8,617.0211003071578,1038.865751
1994-03-23,468.54,828.8877625060084,1027.189445
1994-03-24,464.35,1247.297216334907,1057.905733
1994-03-25,460.58,761.8333419460064,1073.735423
1994-03-28,460.0,680.3813559128596,1086.281311
1994-03-29,452.48,1083.986155979759,1086.655721
1994-03-30,445.55,990.9396583428178,1100.33688
1994-03-31,445.77,815.741966818305,1094.031493
1994-04-01,445.77,982.5028980143582,1078.34098
1994-04-04,438.92,921.4155014903232,1143.97531
1994-04-05,448.29,1433.1609845595558,1125.830825
1994-04-06,448.05,1505.7765051901133,1121.626121
1994-04-07,450.88,986.2276069489384,1141.746836
1994-04-08,447.1,1216.0437191528626,1143.280848
1994-04-11,449.87,913.5320897506105,1127.643351
1994-04-12,447.57,1447.5732728113755,1126.377384
1994-04-13,446.26,1056.396043128388,1149.910265
1994-04-14,446.38,1069.8096913734382,1171.228379
1994-04-15,446.18,1079.6855009240178,1171.472045
1994-04-18,442.46,1468.9592472996196,1106.149557
1994-04-19,442.54,549.112591528546,1095.701
1994-04-20,441.96,1031.3263792479474,1090.322182
1994-04-21,448.73,1181.573704926281,1087.713607
1994-04-22,447.63,1206.7692049590676,1089.805643
1994-04-25,452.71,1099.270183039465,1097.599091
1994-04-26,451.87,541.5586834113624,1075.977237
1994-04-27,451.87,1028.6618586173772,1087.712491
1994-04-28,449.1,724.0477428350084,1120.815847
1994-04-29,450.91,754.1107426413275,1133.691855
1994-05-02,453.02,1323.6694442882465,1139.865847
1994-05-03,453.03,1018.5869152048878,1134.984774
1994-05-04,451.72,1262.4763450664989,1124.42079
1994-05-05,451.38,863.133136161382,1122.61279
1994-05-06,447.82,902.2202705716128,1109.086078
1994-05-09,442.32,1043.533359540275,1102.731584
1994-05-10,446.01,1799.1096221573057,1109.697164
1994-05-11,441.49,941.3733684827946,1124.780878
1994-05-12,443.75,1438.163069679763,1122.925022
1994-05-13,444.14,1091.696868147786,1112.833991
1994-05-16,444.49,993.4217524416536,1112.7808
1994-05-17,449.37,1267.7648318976342,1122.202005
1994-05-18,453.69,682.833989114881,1144.048001
1994-05-19,456.48,927.3602413340852,1177.411988
1994-05-20,454.92,1247.8516377343053,1159.935644
1994-05-23,453.2,869.3435559348701,1179.805587
1994-05-24,454.81,613.5166284257698,1181.935611
1994-05-25,456.34,1328.455192007443,1173.970493
1994-05-26,457.06,877.0575655248106,1182.220312
1994-05-27,457.33,1193.1902624905565,1210.018917
1994-05-30,457.33,1408.6234527153456,1248.921933
1994-05-31,456.5,1254.1752179373998,1256.210933
1994-06-01,457.63,1084.4648417469068,1231.426778
1994-06-02,457.65,964.104478415298,1220.534299
1994-06-03,460.13,1160.6891257601292,1240.194617
1994-06-06,458.88,1255.7225739808607,1219.141365
1994-06-07,458.21,635.970650794542,1224.353977
1994-06-08,457.06,1231.0399237354345,1239.776023
1994-06-09,457.86,1364.3375399974898,1235.37159
1994-06-10,458.67,751.4549190061991,1244.912651
1994-06-13,459.1,901.1098684506976,1268.458438
1994-06-14,462.37,1064.4824718352934,1253.348832
1994-06-15,460.61,994.1872269778409,1238.865245
1994-06-16,461.93,1436.2121240982756,1252.446309
1994-06-17,458.45,866.3665795961074,1234.095099
1994-06-20,455.48,1209.728608605063,1236.372782
1994-06-21,451.34,723.3477245331349,1239.588293
1994-06-22,453.09,977.1120673417968,1268.546954
1994-06-23,449.63,1050.776302929313,1279.965866
1994-06-24,442.8,1434.7769559478168,1247.599643
1994-06-27,447.31,1230.3604975317794,1261.876205
1994-06-28,446.07,1179.3753407935617,1257.055082
1994-06-29,447.63,1230.026743784778,1256.619212
1994-06-30,444.27,710.8041517421675,1263.059777
1994-07-01,446.2,865.2043019046956,1231.99704
1994-07-04,446.2,644.8421786981128,1234.206351
1994-07-05,446.37,1674.5694359571537,1215.89719
1994-07-06,446.13,940.410807956632,1199.026738
1994-07-07,448.38,1497.471637381352,1192.101127
1994-07-08,449.55,826.3548341357471,1184.822501
1994-07-11,448.06,1296.5277836534449,1163.529616
1994-07-12,447.95,1144.1348648873,1160.385596
1994-07-13,448.73,1007.025020078658,1171.296739
1994-07-14,453.41,1006.0695820919492,1193.629651
1994-07-15,454.16,1236.587028743189,1207.006622
1994-07-18,455.22,562.8286753434148,1222.930536
1994-07-19,453.86,1127.1454210598856,1240.240987
1994-07-20,451.6,693.9093964056801,1254.463491
1994-07-21,452.61,1245.2447450887266,1224.231404
1994-07-22,453.11,923.2106158212024,1223.935566
1994-07-25,454.25,997.560098959392,1166.196906
1994-07-26,453.36,1340.6745527659557,1189.60058
1994-07-27,452.57,1270.992395178535,1158.463901
1994-07-28,454.23,941.734288456058,1147.35177
1994-07-29,458.26,394.4297385562503,1101.333532
1994-08-01,461.01,1472.340043535963,1085.905947
1994-08-02,460.56,1516.8054674960952,1078.185312
1994-08-03,461.45,1155.8371140403262,1075.78289
1994-08-04,458.4,847.9255561360133,1059.384231
1994-08-05,457.09,1093.6126263161657,1068.891012
1994-08-08,457.89,722.5787442548472,1060.844524
1994-08-09,457.93,1190.738405975619,1080.796608
1994-08-10,460.3,1144.733641086816,1097.686521
1994-08-11,458.88,1636.901988360223,1104.657508
1994-08-12,461.94,1402.3881416024983,1091.549405
1994-08-15,461.23,973.4304781583628,1092.092092
1994-08-16,465.01,931.1153923977652,1084.788092
1994-08-17,465.17,454.51253035556806,1087.82307
1994-08-18,463.17,1437.7089967964505,1091.968497
1994-08-19,463.68,873.9958728203949,1108.372351
1994-08-22,462.32,932.7182087568892,1112.065159
1994-08-23,464.51,664.4097705173056,1134.614186
1994-08-24,469.03,923.7412230141238,1144.308014
1994-08-25,468.08,1091.883776068635,1143.216283
1994-08-26,473.8,978.7139230784602,1135.877755
1994-08-29,474.59,1393.060784035161,1142.678577
1994-08-30,476.07,641.6553610525445,1135.648304
1994-08-31,475.49,1045.3080095927871,1154.563208
1994-09-01,473.17,865.0181531061146,1160.701016
1994-09-02,470.99,1222.300291743681,1159.335615
1994-09-05,470.99,835.9066757029159,1131.113044
1994-09-06,471.86,1273.2724634358492,1118.864913
1994-09-07,470.96,1055.2795713694222,1158.782074
1994-09-08,473.14,1635.070575552154,1130.518355
1994-09-09,468.18,1000.6360121894332,1133.546782
1994-09-12,466.21,975.7511588879172,1157.543803
1994-09-13,467.51,1092.9591497982806,1183.413971
1994-09-14,468.8,608.3702993437469,1176.114537
1994-09-15,474.81,824.0523903269152,1170.325867
1994-09-16,471.19,1232.141658520834,1170.565768
1994-09-19,470.85,633.9283798058614,1125.274219
1994-09-20,463.36,1333.8668436360745,1120.182768
1994-09-21,461.46,1091.9044800389242,1118.113802
1994-09-22,461.27,1376.8531929604735,1106.374181
1994-09-23,459.67,900.4894442496957,1126.326954
1994-09-26,460.82,656.9744837138506,1144.186916
1994-09-27,462.05,1715.994270229165,1142.904459
1994-09-28,464.84,1114.0315188985228,1124.443865
1994-09-29,462.24,1155.5465467195008,1115.187998
1994-09-30,462.69,261.0378946469434,1101.658419
1994-10-03,461.74,1202.924008827244,1094.91782
1994-10-04,454.59,1746.6243766704688,1084.461627
1994-10-05,453.52,902.8082946999776,1093.592002
1994-10-06,452.36,1078.2057909882449,1100.162001
1994-10-07,455.1,1638.0356185547162,1098.447082
1994-10-10,459.04,1196.8223389963557,1088.103361
1994-10-11,465.79,1006.0719866696496,1085.264039
1994-10-12,465.47,977.0443125555446,1081.799365
1994-10-13,467.77,1469.5798726730563,1097.008725
1994-10-14,469.1,1003.3566997825586,1104.791276
1994-10-17,468.96,1065.9864873692527,1084.21056
1994-10-18,467.66,1110.8097073063664,1076.027574
1994-10-19,470.28,704.4261976063042,1082.132037
1994-10-20,466.85,860.059947925386,1082.97576
1994-10-21,464.89,870.0120871719157,1075.700744
1994-10-24,460.83,1277.6359405230353,1126.404665
1994-10-25,461.53,1416.538477600741,1131.576774
1994-10-26,462.62,893.1934193918416,1154.958126
1994-10-27,465.85,1326.421264602142,1127.836406
1994-10-28,473.77,901.197924955612,1184.479707
