date,market_value,wn
1994-01-07,469.9,1484.0524875728652
1994-01-10,475.27,1062.021772611663
1994-01-11,474.13,765.7619196597984
1994-01-12,474.17,1703.870574075907
1994-01-13,472.47,1304.1676507553361
1994-01-14,474.91,1288.3243167677751
1994-01-17,473.3,1003.3618042701995
1994-01-18,474.25,1541.7705010143472
1994-01-19,474.3,553.2035984126913
1994-01-20,474.98,1140.5822906303472
1994-01-21,474.72,525.9177216073324
1994-01-24,471.97,762.5185774777881
1994-01-25,470.92,1492.5512453891572
1994-01-26,473.2,1028.738709392162
1994-01-27,477.05,964.8564750892576
1994-01-28,478.7,1036.2439722831325
1994-01-31,481.61,857.5954605407678
1994-02-01,479.62,1296.6411645667658
1994-02-02,482.0,553.7624741139302
1994-02-03,480.71,1049.9357570470136
1994-02-04,469.81,979.9467910033264
1994-02-07,471.76,1001.1200984032687
1994-02-08,471.05,994.3560204559099
1994-02-09,472.77,1439.3864298150838
1994-02-10,468.93,1259.8422854192386
1994-02-11,470.18,1189.3559502006203
1994-02-14,470.23,890.4742887888438
1994-02-15,472.52,953.8912671847293
1994-02-16,472.79,1433.0220359998702
1994-02-17,470.34,1138.5632389299788
1994-02-18,467.69,1198.2952617714564
1994-02-21,467.69,1317.5207184475912
1994-02-22,471.46,1350.4566184078324
1994-02-23,470.69,1323.6047233813263
1994-02-24,464.26,1448.8455146781985
1994-02-25,466.07,1372.944867025358
1994-02-28,467.14,1188.8041517859142
1994-03-01,464.44,1039.9950547294263
1994-03-02,464.81,1080.4220750735449
1994-03-03,463.01,1073.2831657595857
1994-03-04,464.74,782.5776713559849
1994-03-07,466.91,1216.3984676210846
1994-03-08,465.88,1138.4172965913688
1994-03-09,467.06,700.3768087823369
1994-03-10,463.9,763.2440048214057
1994-03-11,466.44,965.8470337794905
1994-03-14,467.39,1533.3497696054972
1994-03-15,467.01,796.0422323309451
1994-03-16,469.42,1613.5892266640276
1994-03-17,470.9,1177.9725731581018
1994-03-18,471.06,768.3757088400284
1994-03-21,468.54,867.3380466622914
1994-03-22,468.8,617.0211003071578
1994-03-23,468.54,828.8877625060084
1994-03-24,464.35,1247.297216334907
1994-03-25,460.58,761.8333419460064
1994-03-28,460.0,680.3813559128596
1994-03-29,452.48,1083.9861559797587
1994-03-30,445.55,990.9396583428178
1994-03-31,445.77,815.741966818305
1994-04-01,445.77,982.5028980143582
1994-04-04,438.92,921.4155014903231
1994-04-05,448.29,1433.1609845595558
1994-04-06,448.05,1505.7765051901133
1994-04-07,450.88,986.2276069489384
1994-04-08,447.1,1216.0437191528626
1994-04-11,449.87,913.5320897506103
1994-04-12,447.57,1447.5732728113755
1994-04-13,446.26,1056.3960431283879
1994-04-14,446.38,1069.8096913734382
1994-04-15,446.18,1079.6855009240178
